Epoch:0   Accuracy:54.73 Best_acc: 54.73
Epoch:1   Accuracy:54.23 Best_acc: 54.73
Epoch:2   Accuracy:51.68 Best_acc: 54.73
Epoch:3   Accuracy:50.86 Best_acc: 54.73
Epoch:4   Accuracy:51.49 Best_acc: 54.73
Epoch:5   Accuracy:50.46 Best_acc: 54.73
Epoch:6   Accuracy:49.89 Best_acc: 54.73
Epoch:7   Accuracy:50.59 Best_acc: 54.73
Epoch:8   Accuracy:49.43 Best_acc: 54.73
Epoch:9   Accuracy:51.57 Best_acc: 54.73
Epoch:10   Accuracy:50.17 Best_acc: 54.73
Epoch:11   Accuracy:49.60 Best_acc: 54.73
Epoch:12   Accuracy:50.42 Best_acc: 54.73
Epoch:13   Accuracy:50.80 Best_acc: 54.73
Epoch:14   Accuracy:51.13 Best_acc: 54.73
Epoch:15   Accuracy:50.61 Best_acc: 54.73
Epoch:16   Accuracy:51.17 Best_acc: 54.73
Epoch:17   Accuracy:52.25 Best_acc: 54.73
Epoch:18   Accuracy:50.29 Best_acc: 54.73
Epoch:19   Accuracy:49.89 Best_acc: 54.73
Epoch:20   Accuracy:49.89 Best_acc: 54.73
Epoch:21   Accuracy:50.64 Best_acc: 54.73
Epoch:22   Accuracy:48.02 Best_acc: 54.73
Epoch:23   Accuracy:51.19 Best_acc: 54.73
Epoch:24   Accuracy:50.25 Best_acc: 54.73
Epoch:25   Accuracy:49.20 Best_acc: 54.73
Epoch:26   Accuracy:49.41 Best_acc: 54.73
Epoch:27   Accuracy:49.75 Best_acc: 54.73
Epoch:28   Accuracy:48.93 Best_acc: 54.73
Epoch:29   Accuracy:51.21 Best_acc: 54.73
Epoch:30   Accuracy:50.71 Best_acc: 54.73
Epoch:31   Accuracy:51.70 Best_acc: 54.73
Epoch:32   Accuracy:50.06 Best_acc: 54.73
Epoch:33   Accuracy:50.50 Best_acc: 54.73
Epoch:34   Accuracy:50.23 Best_acc: 54.73
